"gameid","roundNum","condition","target_sub","target_basic","target_super","alt1_sub","alt1_basic","alt1_super","alt2_sub","alt2_basic","alt2_super","speakerMessages","listenerMessages","refExp","sub","basic","super","freq_sub","freq_basic","freq_super","log_freq_sub","log_freq_basic","log_freq_super","diff_logfreq_subbasic","diff_logfreq_subsuper","mean_length_sub","mean_length_basic","mean_length_super","precoded_length_sub","precoded_length_basic","precoded_length_super","ratio_length_subbasic","ratio_length_subsuper","redCondition","typ_sub","typ_basic","typ_super","ratio_typ_subbasic","ratio_typ_subsuper","binaryCondition","trial_inds"
"1511-d",58,"basic23","minivan","car","vehicle","lobster",NA,"animal","firetruck",NA,"vehicle","car","","car",FALSE,TRUE,FALSE,2.63e-07,0.000113414,4.63e-05,-15.1511118047686,-9.08446571750066,-9.98036859687209,-6.06664608726799,-5.17074320789656,5.71,3.01,7,7,3,7,1.89700996677741,0.815714285714286,"basic_sufficient",0.946153846153846,0.847272727272727,0.774285714285714,1.11670518322879,1.22196991200681,"nonsub_sufficient",1103
"1511-d",59,"basic22","picnictable","table","furniture","bookcase",NA,"furniture","lamp",NA,"furniture","table","","table",FALSE,TRUE,FALSE,5.19e-07,0.000309774,1.8e-05,-14.4713619537805,-8.07966755861639,-10.9251388000681,-6.39169439516413,-3.54622315371241,9.73,4.99,9,11,5,9,1.9498997995992,1.08111111111111,"basic_sufficient",0.987222222222222,0.82625,0.631333333333333,1.19482265927047,1.56370996128124,"nonsub_sufficient",1104
"1511-d",60,"basic22","eagle","bird","animal","iguana",NA,"animal","elephant",NA,"animal","hawk","","hawk",TRUE,FALSE,FALSE,1.05e-05,6.03e-05,0.000117655,-11.4641353008008,-9.71617845423113,-9.04775394475643,-1.74795684656966,-2.41638135604437,4.91,4.01,6,5,4,6,1.22443890274314,0.818333333333333,"basic_sufficient",0.885,0.788125,0.9225,1.12291831879461,0.959349593495935,"nonsub_sufficient",1105
"1511-d",62,"basic12","hummingbird","bird","animal","sparrow","bird","animal","pig",NA,"animal","bird in flight","","bird in flight",FALSE,TRUE,FALSE,8.43e-07,6.03e-05,0.000117655,-13.9862988789446,-9.71617845423113,-9.04775394475643,-4.27012042471342,-4.93854493418813,10.08,4.01,6,11,4,6,2.51371571072319,1.68,"sub_necessary",0.934117647058823,0.844545454545454,0.745882352941176,1.10605964667891,1.25236593059937,"sub_necessary",1106
"1511-d",63,"basic22","catfish","fish","animal","cow",NA,"animal","lobster",NA,"animal","catfish","","catfish",TRUE,FALSE,FALSE,1.05e-06,5.83e-05,0.000117655,-13.7667203937948,-9.74990846460783,-9.04775394475643,-4.01681192918701,-4.71896644903841,6.64,4,6,7,4,6,1.66,1.10666666666667,"basic_sufficient",0.932727272727273,0.8525,0.524615384615385,1.09410823780325,1.77792588643028,"nonsub_sufficient",1107
"1511-d",65,"basic23","sunflower","flower","plant","pottedplant",NA,"plant","train",NA,"vehicle","sunflower","","sunflower",TRUE,FALSE,FALSE,1.72e-06,4.86e-05,0.000155648,-13.2731862671389,-9.93188702705783,-8.76791351050068,-3.34129924008109,-4.50527275663823,8.95,5.98,5,9,6,5,1.49665551839465,1.79,"basic_sufficient",0.972105263157895,0.973076923076923,0.818333333333333,0.999001456209695,1.18790867188338,"nonsub_sufficient",1108
"1511-d",66,"basic12","dalmatian","dog","animal","crocodile",NA,"animal","greyhound","dog","animal","dalmation","","dalmation",TRUE,FALSE,FALSE,1.46e-07,6.42e-05,0.000117655,-15.7396592152381,-9.65350734726836,-9.04775394475643,-6.08615186796971,-6.69190527048164,8.8,3.05,6,9,3,6,2.88524590163934,1.46666666666667,"sub_necessary",0.948666666666667,0.893636363636364,0.892272727272727,1.06158019667684,1.06320258108338,"sub_necessary",1109
"1511-d",71,"basic23","suv","car","vehicle","rosemary",NA,"plant","motorcycle",NA,"vehicle","car","","car",FALSE,TRUE,FALSE,5.71e-07,0.000113414,4.63e-05,-14.3758766272904,-9.08446571750066,-9.98036859687209,-5.29141090978974,-4.39550803041831,3,3.01,7,3,3,7,0.996677740863787,0.428571428571429,"basic_sufficient",0.919285714285714,0.886818181818182,0.914,1.03661126162408,1.00578305720538,"nonsub_sufficient",1110
"1511-d",72,"basic22","poloshirt","shirt","clothing","bathrobe",NA,"clothing","dress",NA,"clothing","shirt","","shirt",FALSE,TRUE,FALSE,1.63e-07,2.16e-05,2.35e-05,-15.6295156361396,-10.7428172432742,-10.6585101368142,-4.88669839286549,-4.97100549932549,6.7,5,8,9,5,8,1.34,0.8375,"basic_sufficient",0.853571428571429,0.9675,0.953809523809524,0.882244370616464,0.894907638542187,"nonsub_sufficient",1111
"6588-d",4,"basic33","minivan","car","vehicle","crocodile",NA,"animal","rosemary",NA,"plant","car","","car",FALSE,TRUE,FALSE,2.63e-07,0.000113414,4.63e-05,-15.1511118047686,-9.08446571750066,-9.98036859687209,-6.06664608726799,-5.17074320789656,5.71,3.01,7,7,3,7,1.89700996677741,0.815714285714286,"super_sufficient",0.946153846153846,0.847272727272727,0.774285714285714,1.11670518322879,1.22196991200681,"nonsub_sufficient",1112
"6588-d",5,"basic33","tulip","flower","plant","gloves",NA,"clothing","firetruck",NA,"vehicle","rose","","rose",TRUE,FALSE,FALSE,1.14e-06,4.86e-05,0.000155648,-13.6844822955579,-9.93188702705783,-8.76791351050068,-3.75259526850004,-4.91656878505719,4.39,5.98,5,5,6,5,0.734113712374582,0.878,"super_sufficient",0.851666666666667,0.941764705882353,0.879090909090909,0.904330626691651,0.968803860737677,"nonsub_sufficient",1113
"6588-d",7,"basic33","germanshepherd","dog","animal","bookcase",NA,"furniture","rosemary",NA,"plant","dog","","dog",FALSE,TRUE,FALSE,2.88e-07,6.42e-05,0.000117655,-15.0603053568105,-9.65350734726836,-9.04775394475643,-5.40679800954211,-6.01255141205404,13.13,3.05,6,14,3,6,4.30491803278689,2.18833333333333,"super_sufficient",0.95,0.934615384615385,0.957,1.01646090534979,0.992685475444096,"nonsub_sufficient",1114
"6588-d",9,"basic22","mnms","candy","snack","popcorn",NA,"snack","cookies",NA,"snack","M&M's","","M&M's",TRUE,FALSE,FALSE,1.59e-10,6.34e-06,4.43e-06,-22.5621169137083,-11.9686317895151,-12.3271109739072,-10.5934851241932,-10.2350059398011,4.41,5.05,5,4,5,5,0.873267326732673,0.882,"basic_sufficient",0.923333333333333,0.8985,0.827222222222222,1.02763865702096,1.11618535930154,"nonsub_sufficient",1115
"6588-d",12,"basic12","daisy","flower","plant","lily","flower","plant","rosemary",NA,"plant","dandelion","","dandelion",TRUE,FALSE,FALSE,3.37e-06,4.86e-05,0.000155648,-12.6005978136,-9.93188702705783,-8.76791351050068,-2.66871078654218,-3.83268430309932,5.91,5.98,5,5,6,5,0.988294314381271,1.182,"sub_necessary",0.852941176470588,0.970769230769231,0.849,0.878624032814393,1.00464213954133,"sub_necessary",1116
